4 machines found
claire
claire
claire
claire
CRF loss
Parsing training data: ../data/train.txt
Parsing test data: ../data/test.txt
Data loading completed
====================  Summary of settings =================
Training data: ../data/train.txt
Test data: ../data/test.txt
loss: CRF, lambda: 1.000000e-04, Processors: 4
dim: 129, classes: 26
Train: #word=3438, #letter=25953
Test: #word=3439, #letter=26198
===========================================================
iter fn.val gap time feval.num train_lett_err train_word_err test_lett_err test_word_err 
99 2.13513 0.0593138 57.0022 108 9.393904 36.416521 14.268265 48.531550
100 2.13244 0.0364342 57.5265 109 9.359226 36.445608 14.256813 48.502472
101 2.12809 0.0343778 57.9464 110 9.282164 36.009308 14.359875 48.793254
102 2.12378 0.0944285 58.451 111 9.420876 36.329261 14.394229 49.025880
103 2.11962 0.0455241 59.0636 112 9.378492 36.242001 14.398046 49.142192
104 2.11793 0.0347305 59.6495 113 9.370786 36.212914 14.398046 49.084036
105 2.11275 0.0375756 60.1606 114 9.305283 35.951134 14.298801 48.764176
106 2.10597 0.0461898 60.7642 115 9.212808 35.892961 14.291167 48.676941
107 2.09254 0.0935928 61.3035 116 8.997033 35.456661 14.294984 48.560628
108 2.08822 0.0452213 62.3199 118 9.077949 35.573008 14.279716 48.182611
109 2.08626 0.0385468 62.7473 119 9.020152 35.398487 14.256813 48.211689
110 2.07797 0.044535 63.1767 120 8.769699 34.991274 14.294984 48.211689
111 2.07741 0.091394 63.7839 121 8.858321 35.514834 14.375143 48.589706
112 2.07369 0.0379665 64.2902 122 8.800524 34.962187 14.378960 48.531550
113 2.07258 0.0225336 64.7744 123 8.769699 34.962187 14.371326 48.328002
114 2.07163 0.0187549 65.3799 124 8.750433 34.933101 14.302619 48.328002
115 2.071 0.0434461 65.8658 125 8.904558 35.282141 14.249179 48.240768
116 2.06973 0.0175216 66.4202 126 8.885293 35.136707 14.252996 48.328002
117 2.06916 0.0175731 67.0214 127 8.815937 35.020361 14.260631 48.386159
118 2.06806 0.023784 67.4446 128 8.808230 35.020361 14.233911 48.240768
119 2.06687 0.0481065 67.8773 129 8.866027 35.136707 14.325521 48.589706
120 2.06532 0.0185361 68.3888 130 8.873733 35.136707 14.233911 48.357081
121 2.06493 0.0140823 69. 131 8.866027 35.194881 14.287350 48.328002
122 2.06452 0.0082092 69.5165 132 8.862174 35.020361 14.237728 48.182611
123 2.06423 0.0115495 70.0094 133 8.862174 35.107621 14.230094 48.153533
124 2.06371 0.01405 70.5333 134 8.869880 35.282141 14.226277 48.153533
125 2.06331 0.0454144 71.0721 135 8.812083 34.904014 14.100313 47.891829
126 2.06227 0.0176706 71.616 136 8.866027 35.020361 14.153752 47.979064
127 2.06191 0.0109436 72.2207 137 8.919971 35.194881 14.195740 48.182611
128 2.06166 0.0110461 72.8262 138 8.908411 35.136707 14.211008 48.240768
129 2.06127 0.0148472 73.9172 140 8.896852 35.136707 14.222460 48.182611
130 2.06098 0.0107255 74.4228 141 8.904558 35.194881 14.226277 48.182611
131 2.06058 0.0132136 74.9942 142 8.892999 35.136707 14.226277 48.386159
132 2.06019 0.0131691 75.5353 143 8.862174 35.078534 14.237728 48.357081
133 2.0598 0.0128269 76.0806 144 8.854468 34.874927 14.207191 48.298924
134 2.05945 0.0134402 76.5944 145 8.827496 34.816754 14.211008 48.386159
135 2.05904 0.0124515 77.1203 146 8.842908 34.816754 14.203374 48.415237
136 2.05821 0.0191664 77.6585 147 8.846761 34.845841 14.199557 48.444315
137 2.05734 0.0380741 78.1171 148 8.792818 34.729494 14.146118 48.386159
138 2.05625 0.0191585 78.7025 149 8.866027 34.874927 14.138484 48.386159
139 2.0551 0.0225116 79.2702 150 8.862174 34.816754 14.157569 48.618785
140 2.05359 0.0172899 79.7791 151 8.804377 34.787667 14.222460 48.444315
141 2.05297 0.0281803 80.3356 152 8.842908 34.991274 14.222460 48.415237
142 2.0523 0.0168929 80.836 153 8.800524 34.933101 14.268265 48.473393
143 2.05154 0.0133777 81.4016 154 8.831349 34.933101 14.211008 48.182611
